nombre,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel,unidad
WEBER CERÁMICO AC POTE 1 KG,QUI269,1495.96,2019.55,1795.15,pote,pote,1.0,100,General,Otros,,,,
"WEBER GEOTEXTIL FINO 60 M2 (1,2 MT X 50 MT)",QUI655,65788.10,88813.94,78945.72,paño,paño,1.0,100,General,Otros,,,,
ROTOMARTILLO ELÉCTRICO REDBO RH 1000-26,R0001,59527.16,80361.67,71432.59,unidad,unidad,1.0,100,Electricidad,Cables y Accesorios,,,,
"ALAMBRE RECOCIDO 1,24 N°18 ROLLO (1KG) ( CAJA 20 ROLLOS )",R000124100010,69326.20,93590.37,83191.44,caja,caja,1.0,100,Electricidad,Cables y Accesorios,,,,
"ALAMBRE RECOCIDO 2,11 N°14 ROLLO (1KG) ( CAJA 20 ROLLOS )",R000211100010,66274.04,89469.95,79528.85,caja,caja,1.0,100,Electricidad,Cables y Accesorios,,,,
ALAMBRE CONEJO 0.41MM 45 ROLLO 386M,R010041100005,161297.62,217751.79,193557.14,caja,caja,1.0,100,Electricidad,Cables y Accesorios,,,,
"ALAMBRE GALV. N° 18, ROLLO 1 KG",RAG18D01K,1508.01,2035.81,1809.61,UNIDAD,UNIDAD,1.0,100,Electricidad,Cables y Accesorios,,,,
ALAMBRE RECOCIDO N° 18 ROLLO 1 KG. APROX,RAR18D01K,1443.75,1949.07,1732.50,UNIDAD,UNIDAD,1.0,100,Electricidad,Cables y Accesorios,,,,
"REMACHADORA 10"" NO.20 UYUSTOOLS",REA006,7544.94,10185.67,9053.93,un,un,1.0,100,General,Otros,,,,
ESCRITORIO CUBO 120 X45 X 111,RFTESCCUB203,26011.93,35116.11,31214.32,UNIDAD,UNIDAD,1.0,100,General,Otros,,,,
M. PROTECT 1.85X3.00M 1G9 AB1506,RGADMC3701853002,32596.43,44005.18,39115.71,unidad,unidad,1.0,100,General,Otros,,,,
RIEL PARA CLOSET ALEMAN 1 MT STB-27,RIE 10000,4939.68,6668.57,5927.62,unidad,unidad,1.0,100,General,Otros,,,,
RIEL PARA CLOSET ALEMAN 1.5 MT STB-27,RIE 10001,7199.68,9719.57,8639.62,unidad,unidad,1.0,100,General,Otros,,,,
RIEL PARA CLOSET ALEMAN 2 MT STB-27,RIE 10002,9875.34,13331.71,11850.41,unidad,unidad,1.0,100,General,Otros,,,,
RIEL PARA CLOSET ALEMAN 2.5 MT STB-27,RIE 10003,12357.23,16682.26,14828.68,unidad,unidad,1.0,100,General,Otros,,,,
CONTROL REMOTO UNIV. 7 FUNCIONES BOTONES GRANDES,RM-786,2198.76,2968.33,2638.51,unidad,unidad,1.0,100,General,Otros,,,,
"RUEDA INDUSTRIAL NARANJO CON FRENO 3"" UYU",RUCN03R,6345.28,8566.13,7614.34,unidad,unidad,1.0,100,General,Otros,,,,
"RUEDA INDUSTRIAL GRIS ROSCA 3"" CON FRENOS",RUI403,5359.86,7235.82,6431.84,un,un,1.0,100,General,Otros,,,,
SILICONA ROJA VERSACHEM 85GR,S082-30000,2033.10,2744.68,2439.72,unidad,unidad,1.0,100,General,Otros,,,,
SANDWICHERA GRILL DUO (SG450),S130017240,15129.28,20424.52,18155.13,unidad,unidad,1.0,100,General,Otros,,,,
CORNER/MACHO VOL 2P+T 10A GRIS,S2465TGE,1102.87,1488.88,1323.45,Unidad,Unidad,1.0,100,General,Otros,,,,
MACHO PROF. 2P 10A GRIS,S2492GE,1640.46,2214.62,1968.55,Unidad,Unidad,1.0,100,General,Otros,,,,
PROF/HEMBRA VOL 2P+T 10A GRIS,S2672TGE,2471.77,3336.89,2966.12,Unidad,Unidad,1.0,100,General,Otros,,,,
PILA DURACELL DX2 MN 1300 B2 BL (BLISTER 2UNID) (48 X CAJA),S300-80000,2138.37,2886.80,2566.04,BLISTER,BLISTER,1.0,100,General,Otros,,,,
PILA DURACELL CX2 MN 1400 B2 BL (BLISTER 2UNID) (48 X CAJA),S302-40000,2177.98,2940.27,2613.57,BLISTER,BLISTER,1.0,100,General,Otros,,,,
