nombre,codigo_chilemat,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel,unidad
419838 RX3/DISYUNTOR 1P C10 6000A,N0191152,,3227.86,,,unidad,unidad,1.0,0,General,Otros,,,,
419840 RX3/DISYUNTOR 1P C16 6000A,N0191153,,3227.86,,,unidad,unidad,1.0,0,General,Otros,,,,
419841 RX3/DISYUNTOR 1P C20 6000A,N0191154,,3227.86,,,unidad,unidad,1.0,0,General,Otros,,,,
402024 RX3/INT DIF 2P 25A  AC 30MA,N0191194,,17827.024,,,unidad,unidad,1.0,0,General,Otros,,,,
S2465TGE (EX 2465TG) MACHO 2P+T 10A GRIS,N0218011,,2441.728,,,unidad,unidad,1.0,0,General,Otros,,,,
PU1100 INT 9/12 ARMADO 10A 250V BLANCO,N0226100,,1889.528,,,unidad,unidad,1.0,0,General,Otros,,,,
PU1213 TOMA DOBLE ARM 2X2P+T 10A 250V BLANCO,N0226109,,2526.064,,,unidad,unidad,1.0,0,Electricidad,Cables y Accesorios,,,,
PU1300 INT TRIPLE ARMADO 9/32 10A 250V BLANCO,N0226111,,3625.444,,,unidad,unidad,1.0,0,General,Otros,,,,
PU1313 TOMA ARM TRIPLE 10A 250V BLANCO,N0226112,,3551.148,,,unidad,unidad,1.0,0,Electricidad,Cables y Accesorios,,,,
P21B (EX P21BN)BASE RECTA OVAL E-27 BCA.,N0228019,,2523.052,,,unidad,unidad,1.0,0,General,Otros,,,,
CINTA 1500 NEGRA 18MMX20MX5MILS,N0263111,,1364.436,,,unidad,unidad,1.0,0,General,Otros,,,,
MWD66180 CASQUETE ARM. TOMA DOBLE 10A 250V,N0321020,,2645.54,,,unidad,unidad,1.0,0,Electricidad,Cables y Accesorios,,,,
MWD66190 CASQUETE ARM. TOMA TRIPLE 10A 250V,N0321021,,3647.532,,,unidad,unidad,1.0,0,Electricidad,Cables y Accesorios,,,,
13040 7424 PLACA CIEGA C/SOP BLANCA N/GE,N0323051,,866.452,,,unidad,unidad,1.0,0,General,Otros,,,,
13032 7517 PL ARM C/ENCH DOBLE 2P+T N/G,N0327036,,2527.068,,,unidad,unidad,1.0,0,General,Otros,,,,
BASE RECTA 2150 RESINA BEIGE E-27 REMA,N0343038,,1244.96,,,unidad,unidad,1.0,0,General,Otros,,,,
AUT. 4001A6-10 B INT. 1 X 10A 220V,N0356002,,7762.928,,,unidad,unidad,1.0,0,General,Otros,,,,
AUT. 4001A6-15 B INT. 1 X 15A 220V,N0356003,,7694.656,,,unidad,unidad,1.0,0,General,Otros,,,,
AUT. 4001A6-20 B INT. 1 X 20A 220V,N0356004,,8844.236,,,unidad,unidad,1.0,0,General,Otros,,,,
AUT. 4001A6-25 B INT. 1 X 25A 220V,N0356005,,8583.196,,,unidad,unidad,1.0,0,General,Otros,,,,
AUT. 4001A6-30 B INT. 1 X 30A 220V,N0356006,,9135.396,,,unidad,unidad,1.0,0,General,Otros,,,,
CAJA 7010 EMPALME,N0357005,,22548.836,,,unidad,unidad,1.0,0,General,Otros,,,,
PLACA CIEGA SINTHESI S17 BLANCO,N0376096,,735.932,,,unidad,unidad,1.0,0,General,Otros,,,,
1790401 CASQUETE CONMUTADOR 9/24 SIMPLE ARMADO BLCO,N0376595,,2157.596,,,unidad,unidad,1.0,0,General,Otros,,,,
1791201 CASQUETE TOMACORRIENTE 10A DOBLE ARMADO BLCO,N0376598,,2836.3,,,unidad,unidad,1.0,0,Electricidad,Cables y Accesorios,,,,
1791401 CASQUETE TOMACORRIENTE 10/16A SIMPLE ARMADO BLCO,N0376600,,2740.92,,,unidad,unidad,1.0,0,Electricidad,Cables y Accesorios,,,,
PARTIDOR UNIVERSAL S-10 PHILIPS,N0408002,,436.74,,,unidad,unidad,1.0,0,General,Otros,,,,
WD-40 155 GRS. ANTICORROSIVO PENETRANTE,N0473001,,4976.828,,,lat,lat,1.0,0,General,Otros,,,,
