nombre,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel,unidad
EQUIPO ESPECIAL P/TUBO LED 1X1200MM S/T,I0609612,4178.65,5641.17,5014.38,unidad,unidad,1.0,100,Gasfiteria,Tuberias y Conexiones,,,,
EQUIPO ESPECIAL P/TUBO LED 2X1200MM S/T,I0609613,6540.06,8829.08,7848.07,unidad,unidad,1.0,100,Gasfiteria,Tuberias y Conexiones,,,,
BARRA COBRIZADA TOMA TIERRA 5/8''X1.5 M EKOLINE,I0609761,7017.96,9474.25,8421.55,tira,tira,1.0,100,Electricidad,Cables y Accesorios,,,,
CABLE COAXIAL RG-6 BLANCO EKOLINE,I0609921,479.91,647.88,575.89,metro,metro,1.0,100,Electricidad,Cables y Accesorios,,,,
ENCHUFE HEMBRA 2P+T 16A NEGRO EKOLINE,I0609934,2723.85,3677.20,3268.62,unidad,unidad,1.0,100,Electricidad,Cables y Accesorios,,,,
TERMINAL BUSHING P/CONDUIT RIGIDO 20MM EKOLINE,I0610016,336.34,454.06,403.61,unidad,unidad,1.0,100,General,Otros,,,,
TERMINAL BUSHING P/CONDUIT RIGIDO 32MM EKOLINE,I0610018,714.85,965.04,857.82,unidad,unidad,1.0,100,General,Otros,,,,
CONDUIT 25MM NO ROSCABLE (EX EMT 3/4'' I0607692),I0610025,6672.58,9007.99,8007.10,tira,tira,1.0,100,Electricidad,Cables y Accesorios,,,,
INTERRUPTOR DE PASO NEGRO EKOLINE,I0610057,1486.92,2007.35,1784.31,unidad,unidad,1.0,100,Electricidad,Cables y Accesorios,,,,
CONECTOR RECTO 20MM P/FLEX.MET C/PVC,I0610060,1057.21,1427.24,1268.65,unidad,unidad,1.0,100,Gasfiteria,Tuberias y Conexiones,,,,
CAJA CHUQUI PLASTICA SOBREPUESTA EKOLINE,I0610074,868.46,1172.42,1042.15,unidad,unidad,1.0,100,General,Otros,,,,
TUBO FLEXIBLE METÁLICO 20MM C/PVC,I0610075,1929.69,2605.08,2315.63,metro,metro,1.0,100,Gasfiteria,Tuberias y Conexiones,,,,
TUBO FLEXIBLE METÁLICO 32MM C/PVC,I0610077,4338.28,5856.68,5205.94,metro,metro,1.0,100,Gasfiteria,Tuberias y Conexiones,,,,
ENCHUFE TRIPLE PLANO 2P+T 10A EKOLINE,I0610128,3027.06,4086.53,3632.47,unidad,unidad,1.0,100,Electricidad,Cables y Accesorios,,,,
INTERRUPTOR DE PASO BLANCO EKOLINE,I0610129,1486.92,2007.35,1784.31,unidad,unidad,1.0,100,Electricidad,Cables y Accesorios,,,,
CABLE CONCENTRICO 2X4 MM2 (ROLLO) EKOLINE,I0610131,1915.63,2586.10,2298.76,metro,metro,1.0,100,Electricidad,Cables y Accesorios,,,,
CABLE CONCENTRICO 2X6 MM2 (ROLLO) EKOLINE,I0610132,2670.64,3605.36,3204.77,metro,metro,1.0,100,Electricidad,Cables y Accesorios,,,,
PORTALAMPARA BASE RECTA OVALADO BLANCO E-27 EKOLINE,I0610162,2203.78,2975.10,2644.54,unidad,unidad,1.0,100,General,Otros,,,,
CONECTOR RECTO 20MM CONEXIÓN DE EMT A FLEXIBLE EKOLINE,I0610190,1242.95,1677.99,1491.54,unidad,unidad,1.0,100,General,Otros,,,,
CONECTOR RECTO 20MM CONEXIÓN DE CONDUIT RIGIDO A FLEXIBLE EKOLINE,I0610195,1242.95,1677.99,1491.54,unidad,unidad,1.0,100,General,Otros,,,,
CASQUETE HIDROBOX IP55 C/MODULO 9/12 EKOLINE,I0610200,7951.68,10734.77,9542.02,unidad,unidad,1.0,100,General,Otros,,,,
CASQUETE HIDROBOX IP55 C/ENCHUFE 2P+T 10/16A EKOLINE,I0610201,8225.77,11104.79,9870.93,unidad,unidad,1.0,100,Electricidad,Cables y Accesorios,,,,
CASQUETE HIDROBOX IP55 C/MODULO 9/12 + ENCHUFE 2P+T 10/16A EKOLINE,I0610202,9186.60,12401.91,11023.92,unidad,unidad,1.0,100,Electricidad,Cables y Accesorios,,,,
CASQUETE HIDROBOX IP55 C/ENCHUFE (2) 2P+T 10/16A EKOLINE,I0610203,9599.24,12958.98,11519.09,unidad,unidad,1.0,100,Electricidad,Cables y Accesorios,,,,
AMPOLLETA LED CLÁSICA 12W E-27 LUZ DÍA 6500K EKOLINE,I0610257,4432.66,5984.09,5319.19,unidad,unidad,1.0,100,General,Otros,,,,
CAJA DE DISTRIBUCION CUADRADA SOBREPUESTA 65 X 65 MM EKOLINE,I0610298,635.53,857.97,762.64,unidad,unidad,1.0,100,General,Otros,,,,
CABLE LIBRE DE HALOGENO H07Z1-K 1.5 MM2 450/750V ROJO (ROLLO 50 MTS),I0610530,286.14,386.29,343.37,metro,metro,1.0,100,Electricidad,Cables y Accesorios,,,,
CABLE LIBRE DE HALOGENO H07Z1-K 1.5 MM2 450/750V BLANC (ROLLO 50 MT),I0610531,281.12,379.51,337.34,metro,metro,1.0,100,Electricidad,Cables y Accesorios,,,,
CABLE LIBRE DE HALOGENO H07Z1-K 1.5 MM2 450/750V VERDE (ROLLO 50 MT),I0610532,281.12,379.51,337.34,metro,metro,1.0,100,Electricidad,Cables y Accesorios,,,,
CABLE LIBRE DE HALOGENO H07Z1-K 2.5 MM2 450/750V ROJO (ROLLO 50 MTS),I0610535,451.80,609.93,542.16,metro,metro,1.0,100,Electricidad,Cables y Accesorios,,,,
CABLE LIBRE DE HALOGENO H07Z1-K 2.5 MM2 450/750V BLANC (ROLLO 50 MT),I0610536,451.80,609.93,542.16,metro,metro,1.0,100,Electricidad,Cables y Accesorios,,,,
CABLE LIBRE DE HALOGENO H07Z1-K 2.5 MM2 450/750V VERDE (ROLLO 50 MT),I0610537,457.82,618.06,549.39,metro,metro,1.0,100,Electricidad,Cables y Accesorios,,,,
