nombre,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel,unidad
"CABLE PUENTE BATERIA PRETUL (TRUPER) 2,5 MTS. # CAP-2510P",261224,8395.45,11333.85,10074.54,unidad,unidad,1.0,100,Electricidad,Cables y Accesorios,,,,
MUEBLE DE BANO CEREZO 500X820X430,2620F50H82290A3P2,62583.34,84487.50,75100.00,unidad,unidad,1.0,100,General,Otros,,,,
MUEBLE DE BANO BLANCO 500X820X430,2620F50H82DS10P2,62583.34,84487.50,75100.00,unidad,unidad,1.0,100,General,Otros,,,,
"NAVAJA 3""",26300003,2224.86,3003.57,2669.84,unidad,unidad,1.0,100,General,Otros,,,,
"NAVAJA 3""",26301003,2482.89,3351.90,2979.47,unidad,unidad,1.0,100,General,Otros,,,,
"GRILLETE PARA CABLE 1/4"" GALVANIZADA (S0401) - SANLI",2641001,203.81,275.15,244.57,un,un,1.0,100,Electricidad,Cables y Accesorios,,,,
"GRILLETE PARA CABLE 5/16"" GALVANIZADA (S0403) - SANLI",2641003,273.09,368.67,327.71,un,un,1.0,100,Electricidad,Cables y Accesorios,,,,
"GRILLETE PARA CABLE 3/8"" GALVANIZADA (S0404) - SANLI",2641005,375.50,506.92,450.60,un,un,1.0,100,Electricidad,Cables y Accesorios,,,,
"GRILLETE PARA CABLE 1/2"" GALVANIZADA (S0405) - SANLI",2641010,529.11,714.30,634.93,un,un,1.0,100,Electricidad,Cables y Accesorios,,,,
"GRILLETE PARA CABLE 5/8"" GALVANIZADA (S0406) - SANLI",2641015,968.86,1307.96,1162.63,un,un,1.0,100,Electricidad,Cables y Accesorios,,,,
"ABRAZADERA 3/8"" P/CABLE GALVAN. (C0106) - SANLI",2642020,280.12,378.16,336.14,un,un,1.0,100,Electricidad,Cables y Accesorios,,,,
"ABRAZADERA 5/8"" P/CABLE GALVAN. (C0110) - SANLI",2642040,600.39,810.53,720.47,un,un,1.0,100,Electricidad,Cables y Accesorios,,,,
"ABRAZADERA 3/4"" P/CABLE GALVAN. (C0111) - SANLI",2642045,906.61,1223.93,1087.93,un,un,1.0,100,Electricidad,Cables y Accesorios,,,,
BEKRON-AC 25K,2698526,25731.63,34737.70,30877.95,unidad,unidad,1.0,100,General,Otros,,,,
AGOREX-60 CJ. 48X1/32 GL.,284614,108811.51,146895.54,130573.81,caja,caja,1.0,100,General,Otros,,,,
AGOREX-60 CJ. 48X20 CC. EST.,284628,88274.69,119170.83,105929.63,caja,caja,1.0,100,General,Otros,,,,
AGOREX-60 CJ. 48X120 CC. EST.,284633,165522.45,223455.31,198626.94,caja,caja,1.0,100,General,Otros,,,,
AMP H1 12V 55W P14.5S T2.5 CR STD CAJA,286694,982.92,1326.94,1179.50,unidad,unidad,1.0,100,General,Otros,,,,
AMP H4 24V 75/50W P43T T4.625 CR STD CAJA,286960,1888.52,2549.51,2266.23,unidad,unidad,1.0,100,General,Otros,,,,
RODILLO DE ESPONJA ECOSA 5 CMS,29-04-110,229.92,310.39,275.90,unidad,unidad,1.0,100,Pinturas,Aplicacion,,,,
RODILLO DE ESPONJA ECOSA 9 CMS,29-04-112,666.66,899.99,799.99,unidad,unidad,1.0,100,Pinturas,Aplicacion,,,,
RODILLO DE ESPONJA ECOSA 18 CMS,29-04-116,1022.07,1379.80,1226.49,unidad,unidad,1.0,100,Pinturas,Aplicacion,,,,
SIMPL MARM RAPOLANO BEIGE C/EGI 6MM 20UN,300040,56968.00,76906.81,68361.60,unidad,unidad,1.0,100,General,Otros,,,,
SIMPL MARM BOTTICINO GRAFITO 6MM 20UN,300042,56968.00,76906.81,68361.60,Unidad,Unidad,1.0,100,General,Otros,,,,
SIMPL PIEDRA AZTECA AMARILLA 6MM 20UN,300053,56968.00,76906.81,68361.60,unidad,unidad,1.0,100,General,Otros,,,,
SIMPLISIMA PIEDRA AZTECA GRIS 6MM 20UN,300057,56968.00,76906.81,68361.60,unidad,unidad,1.0,100,General,Otros,,,,
SIMPLISIMA MADERA RÚSTICA SOFT 6MM 20UN,300060,56968.00,76906.81,68361.60,unidad,unidad,1.0,100,General,Otros,,,,
SIMPL PIEDRA TERRAZO MARFIL 6MM 20 UN,300067,56968.00,76906.81,68361.60,Unidad,Unidad,1.0,100,General,Otros,,,,
SIMPL LADRILLO FOSIL GRAFITO 20 UN,300070,56968.00,76906.81,68361.60,Unidad,Unidad,1.0,100,Construccion,Materiales,,,,
CUCHILLO CARTONERO 18X100MM,300228,983.92,1328.29,1180.70,UNIDAD,UNIDAD,1.0,100,General,Otros,,,,
CEMENTO ESPECIAL 25 K. TOME-CONCEPCIÓN,300394-TOME,2811.20,3795.12,3373.44,Saco,Saco,1.0,100,Construccion,Materiales,,,,
CEMENTO LA UNION ALTA RESISTENCIA 25 KG. SAN ANTONIO,300399-AR-SANT,3303.16,4459.27,3963.79,saco,saco,1.0,100,Construccion,Materiales,,,,
"DESMALEZADORA TBC33X 32,6CC EJE RECTO",301-023,185740.00,250749.00,222888.00,unidad,unidad,1.0,100,General,Otros,,,,
"DESMALEZADORA TBC43X 42,7CC EJE RECTO",301-024,200800.00,271080.00,240960.00,unidad,unidad,1.0,100,General,Otros,,,,
DESMALEZADORA TBC52X 52CC EJE RECTO,301-025,210840.00,284634.00,253008.00,unidad,unidad,1.0,100,General,Otros,,,,
BISAGRA CIERRE SUAVERECTA CLASSIC,3010111012,965.29,1303.14,1158.34,un,un,1.0,100,Hogar,Banio y Decoracion,,,,
AMPOLLETA LED 45W BRIGHT FAN E27 6500K LUZ FRIA,3010700,3413.60,4608.36,4096.32,unidad,unidad,1.0,100,General,Otros,,,,
POLICARB ALVEOLAR 1050X2900X4MM TRANSPARENTE,3012100006060,12199.20,16468.92,14639.04,unidad,unidad,1.0,100,General,Otros,,,,
POLICARB ALVEOLAR 2100X2900X4MM TRANSPARENTE,3012100015060,24398.40,32937.85,29278.09,unidad,unidad,1.0,100,General,Otros,,,,
"POLICARB ROLLO 1,22MTX10MTX0,7MM TRANSPAR",3012120080060,78468.62,105932.64,94162.35,unidad,unidad,1.0,100,General,Otros,,,,
"POLIC ONDULADO 0,5MM CORRUGAL 0,81X2,5M TRAN",3012130004060,6403.83,8645.17,7684.60,unidad,unidad,1.0,100,General,Otros,,,,
"POLIC ONDULADO STD CORRUGAL 0,81X2M TRANS",3012130005060,5863.36,7915.54,7036.03,unidad,unidad,1.0,100,General,Otros,,,,
"POLIC ONDULADO 0,5MM CORRUGAL 0,81X3,66M TRANS",3012130007060,9374.47,12655.53,11249.36,unidad,unidad,1.0,100,General,Otros,,,,
