nombre,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel,unidad
"CAÑERIA POLIET.A.D. 5/8"" NARANJA",CÑ210001020,309.23,417.46,371.08,tiras,tiras,1.0,100,General,Otros,,,,
COMBO 8 UNIDADES DE ROTOMARTILLOS G,CO-GLA-056699,803200.00,1084320.00,963840.00,unidad,unidad,1.0,100,Electricidad,Cables y Accesorios,,,,
LIQUIDACION 32 ESMERILES + 30 TALAD,CO-GLA-056751,3256976.00,4396917.60,3908371.20,unidad,unidad,1.0,100,Herramientas,Discos y Corte,,,,
CORDEL ESTANDARD TIPO 1000 NATURAL EN BOBINAS DE 1 KG.,COES01000115NA,3316.21,4476.89,3979.45,kilo,kilo,1.0,100,General,Otros,,,,
COMBO MANGO FIBRA 2LB UYUSTOOLS,COF002,6039.43,8153.23,7247.32,un,un,1.0,100,General,Otros,,,,
COMBO MANGO FIBRA 12LB UYUSTOOLS,COF012,35414.15,47809.11,42496.98,un,un,1.0,100,General,Otros,,,,
"CORDEL TIPO 1000 EN OVILLOS DE 200 GRMS.MULTIPLES COLORES (CAJA 4,8 KGS)",COOV01000200MU,4218.81,5695.39,5062.57,kilo,kilo,1.0,100,General,Otros,,,,
SERVICIOS DE CORTE,CORTE,1.00,1.36,1.20,unidad,unidad,1.0,100,General,Otros,,,,
ALAMBRE PUAS ALTA RES.16 X 275 MT..,CPUMO275R,21454.48,28963.54,25745.37,ROLLO,ROLLO,1.0,100,Electricidad,Cables y Accesorios,,,,
ALAMBRE DE PÚAS 16 X 500 MTS.,CPUMO500R,42795.50,57773.93,51354.60,ROLLO,ROLLO,1.0,100,Electricidad,Cables y Accesorios,,,,
CUCHILLO PARA CARTONERO 18MM X 10UN,CQA018,877.86,1185.11,1053.43,set,set,1.0,100,General,Otros,,,,
CREOLINA 1 LT,CREO002,2539.12,3427.81,3046.94,botella,botella,1.0,100,General,Otros,,,,
CRUCETAS REUTILIZABLE PARA CERAMICAS 2MM 200UN/SET UYUSTOOLS,CRZ02R,886.48,1196.75,1063.78,set,set,1.0,100,General,Otros,,,,
SIERRA CIRCULAR ELÉCTRICA CS 1250-185,CS0001,46605.68,62917.67,55926.82,unidad,unidad,1.0,100,Herramientas,Discos y Corte,,,,
SIERRA CIRCULAR INALÁMBRICA CS 21V-140,CS0002,40531.48,54717.50,48637.78,unidad,unidad,1.0,100,Herramientas,Discos y Corte,,,,
ONE PIECE LAMPA,CS0060671301Cf,74532.86,100619.37,89439.44,UNIDAD,UNIDAD,1.0,100,General,Otros,,,,
ONE PIECE NEW MONZA DOBLE DESCARGA C/ASIENTO SOFT CLOSE,CS0071191301CF,82830.00,111820.50,99396.00,UNIDAD,UNIDAD,1.0,100,General,Otros,,,,
SIERRA CALADORA INALÁMBRICA JS 21V-25,CSI0001,27389.12,36975.31,32866.94,unidad,unidad,1.0,100,Construccion,Materiales,,,,
CUMARU MIEL BRILLO 45X45,CSL-13-0057,7884.76,10644.43,9461.72,m2,m2,1.0,100,General,Otros,,,,
"CLAVO TECHO 2 1/2"" HELICOIDAL 100U/BOLSA 30 BOLSAS/CAJA IMPORTADO",CTHB212,39384.91,53169.63,47261.89,caja,caja,1.0,100,General,Otros,,,,
CENTRO PUNTO 4PCS,CTP401,3419.44,4616.25,4103.33,set,set,1.0,100,General,Otros,,,,
CUELLO POLAR BORDADO CHILEMAT,CU-PO-CHMT,1222.87,1650.88,1467.45,unidad,unidad,1.0,100,General,Otros,,,,
"CUERDA PARA CARGA R2512A 1""X15FT 1500LBS",CU2512,7646.00,10322.10,9175.20,un,un,1.0,100,General,Otros,,,,
CORTATUBO 3-30MM UYU,CWA003,9298.04,12552.36,11157.65,unidad,unidad,1.0,100,Gasfiteria,Tuberias y Conexiones,,,,
CLAVO STAPLE 6MM TAIWAN,CXG106,2098.81,2833.40,2518.57,set,set,1.0,100,General,Otros,,,,
CLAVO STAPLE 8MM TAIWAN,CXG108,1528.59,2063.60,1834.31,set,set,1.0,100,General,Otros,,,,
CLAVO ENGRAPADORA 0.7X6MM UYU,CXG706,692.76,935.23,831.31,unidad,unidad,1.0,100,General,Otros,,,,
CLAVO ENGRAPADORA 0.7X10MM UYU,CXG708,722.88,975.89,867.46,set,set,1.0,100,General,Otros,,,,
MARTILLO DEMOLEDOR ELÉCTRICO REDBO DB 1000-45,D0001,106022.40,143130.24,127226.88,unidad,unidad,1.0,100,Herramientas,Discos y Corte,,,,
BATERIA CONVENCIONAL 9 VOLTS,D630-70000,1012.03,1366.24,1214.44,blister,blister,1.0,100,General,Otros,,,,
"DADO ADAPTADORES CON CARDAN 1/2"" UYU",DAC102,3732.87,5039.38,4479.45,unidad,unidad,1.0,100,General,Otros,,,,
"DADO MAGNETICO 5/16"" FWYY-TMX",DAG516YX,989.03,1335.19,1186.84,un,un,1.0,100,General,Otros,,,,
"DISCO CORTAPASTO 10""X 3 DIENTES UYUSTOOLS",DCP310,4236.88,5719.79,5084.26,un,un,1.0,100,Herramientas,Discos y Corte,,,,
"DISCO DIAMOND PROFESIONAL 4""(115MM) SECO UYUSTOOLS",DD4PS1,4534.98,6122.22,5441.97,un,un,1.0,100,Herramientas,Discos y Corte,,,,
"DISCO DIAMOND PROFESIONAL 4""(115MM) TURBO UYUSTOOLS",DD4PT2,5861.35,7912.83,7033.62,un,un,1.0,100,Herramientas,Discos y Corte,,,,
DISCO DIAMOND DE PULIR 115MM SECO,DDP115,10150.99,13703.84,12181.19,un,un,1.0,100,Herramientas,Discos y Corte,,,,
DISCO DIAMOND DE PULIR 180MM SECO,DDP180,27037.72,36500.92,32445.26,unidad,unidad,1.0,100,Herramientas,Discos y Corte,,,,
DISCO DIAMOND UYUSTOOLS 115 SECO,DDU115,2963.26,4000.40,3555.91,un,un,1.0,100,Herramientas,Discos y Corte,,,,
DISCO DIAMOND UYUSTOOLS 115 LISO-HUMEDO,DDU115H,3403.56,4594.81,4084.27,unidad,unidad,1.0,100,Herramientas,Discos y Corte,,,,
DISCO DIAMOND 115 TURBO UYUSTOOLS,DDU116,3390.51,4577.19,4068.61,unidad,unidad,1.0,100,Herramientas,Discos y Corte,,,,
