nombre,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel,unidad
BROCA CONCRETO STARCRAFT 4 MM,10014730040040,294.17,397.13,353.01,unidad,unidad,1.0,100,General,Otros,,,,
BROCA CONCRETO STARCRAFT 8 MM,10014730040080,637.54,860.68,765.05,unidad,unidad,1.0,100,General,Otros,,,,
DISCO DESVASTE FE TOLSEN 110 MM 76302,10016402607602,1100.73,1485.98,1320.87,unidad,unidad,1.0,100,Herramientas,Discos y Corte,,,,
BROCA SDS TOLSEN 6*160 75322,10016405007522,1053.89,1422.75,1264.67,unidad,unidad,1.0,100,General,Otros,,,,
PEGATANKE EPOXI NEGRO,1002006,5009.96,6763.45,6011.95,unidad,unidad,1.0,100,General,Otros,,,,
PEGATANKE EPOXI BLANCO,1002007,4819.20,6505.92,5783.04,unidad,unidad,1.0,100,General,Otros,,,,
ADHESIVO PVC - CPVC HUMEDO Y SECO 118 ML,1002057,2510.00,3388.50,3012.00,unidad,unidad,1.0,100,Gasfiteria,Tuberias y Conexiones,,,,
PEGATANKE EPOXI ACERO,1002060,5009.96,6763.45,6011.95,unidad,unidad,1.0,100,Aceros y Techumbre,Planchas,,,,
PEGATANKE EPOXI TRANSPARENTE,1002062,5009.96,6763.45,6011.95,unidad,unidad,1.0,100,General,Otros,,,,
CINTA ADHESIVA TAPAGOTERA  COLOR NEGRO,1002082,6736.84,9094.73,8084.21,unidad,unidad,1.0,100,General,Otros,,,,
CINTA ADHESIVA TAPAGOTERA  COLOR TRANSPARENTE,1002083,6736.84,9094.73,8084.21,unidad,unidad,1.0,100,General,Otros,,,,
FORTE DOBLE CONTACTO SUPER NANO,1002088,5466.78,7380.15,6560.14,UNIDAD,UNIDAD,1.0,100,General,Otros,,,,
FLOTADOR 150MM PRENSA ( 1' ),100322,5134.08,6931.01,6160.90,unidad,unidad,1.0,100,General,Otros,,,,
LIBERO FREEZER HORIZONTAL LFH-201,100323,136671.40,184506.39,164005.68,unidad,unidad,1.0,100,General,Otros,,,,
