nombre,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel,unidad
"LLANTA NEUMÁTICA 14', SIN CÁMARA, PRETUL",1125008,6305.12,8511.91,7566.14,pza,pza,1.0,100,General,Otros,,,,
"AZADON TIPO JARDINERO 6""",1125053,7028.00,9487.80,8433.60,pza,pza,1.0,100,General,Otros,,,,
RASTRILLO 14 DIENTES,1125054,8584.20,11588.67,10301.04,pza,pza,1.0,100,General,Otros,,,,
"JUEGO PARA INSTALAR CERRADURAS, 4 PZAS, PRETUL",1126038,8143.44,10993.65,9772.13,jgo,jgo,1.0,100,Hogar,Banio y Decoracion,,,,
"LINTERNA DE MINERO 3 LEDS 65 LM DE 3 PILAS AAA, PRETUL",1127083,3885.48,5245.40,4662.58,pza,pza,1.0,100,General,Otros,,,,
"NIPLE TUERCA HI-HE 1/2"" X 3/8"" - LATÓN",112732001-T,290.16,391.71,348.19,unid.,unid.,1.0,100,Ferreteria,Fijaciones,,,,
"HILO CON TUERCA 1/2"" X 3/8"" - LATÓN",112932001-T,282.12,380.87,338.55,unid.,unid.,1.0,100,Ferreteria,Fijaciones,,,,
"HILO CON TUERCA 1/2"" - LATÓN",112933001-T,444.77,600.44,533.73,unid.,unid.,1.0,100,Ferreteria,Fijaciones,,,,
"HILO CON TUERCA 3/4"" X 1/2"" - LATÓN",112943001-T,486.94,657.37,584.33,unid.,unid.,1.0,100,Ferreteria,Fijaciones,,,,
"HILO HI-HI 1/2""",113033000-T,679.71,917.61,815.65,unid.,unid.,1.0,100,General,Otros,,,,
PLANCHA ALVEOLAR 2100 X 2900X4MM TRANSPARENTE,113215401,22546.83,30438.22,27056.19,unidad,unidad,1.0,100,Aceros y Techumbre,Planchas,,,,
PLANCHA ALVEOLAR 1050 X 2900X4MM TRANSPARENTE,113216401,11273.92,15219.79,13528.70,unidad,unidad,1.0,100,Aceros y Techumbre,Planchas,,,,
"CACHIMBO RECTO HI 3/8"" IZQ CON ESPIGA 3/8"" - LATÓN",113422081-T,305.22,412.04,366.26,unid.,unid.,1.0,100,General,Otros,,,,
CACHIMBO RECTO HI 3/8,113422083-T,220.88,298.19,265.06,unid.,unid.,1.0,100,General,Otros,,,,
"CACHIMBO RECTO HI 3/8"" IZQ CON ESPIGA 1/2"" - LATÓN",113423081-T,443.77,599.09,532.52,unid.,unid.,1.0,100,General,Otros,,,,
"CACHIMBO RECTO HI 1/2"" CON ESPIGA 3/8""C/GOLILLA Y ABRAZADERA",113432073-T,693.76,936.58,832.52,unid.,unid.,1.0,100,General,Otros,,,,
CADENA 3/8 MICRO 1.5,1136220000056,15060.00,20331.00,18072.00,unidad,unidad,1.0,100,General,Otros,,,,
ROLLO CADENA. R. SUPER 3/8 1.5 (COMPETENCIA),1136220001640,387042.00,522506.70,464450.40,Unidad,Unidad,1.0,100,General,Otros,,,,
ROLLO CADENA 1.5 3/8 (COMPETENCIA),1136220001640,413648.00,558424.80,496377.60,unidad,unidad,1.0,100,General,Otros,,,,
"CADENA STIHL R. MICRO 0,325 1,6MM. 68 ESLABONES",1136290000068,16666.40,22499.64,19999.68,un,un,1.0,100,General,Otros,,,,
"ROLLO CADENA R. MICRO 0.325 1,6 MS 250",1136290001840,387042.00,522506.70,464450.40,Unidad,Unidad,1.0,100,General,Otros,,,,
"CACHIMBO 90° HI 1/2"" CON ESPIGA 3/8 - LATÓN",113632001-T,645.57,871.52,774.69,unid.,unid.,1.0,100,General,Otros,,,,
"CACHIMBO 90° HI 1/2"" CON ESPIGA 3/8C/GOLILLA Y ABRAZADERA",113632073-T,710.83,959.62,853.00,unid.,unid.,1.0,100,General,Otros,,,,
"CADENA STIHL P. MICRO 3/8 1,3MM. 50 ESLABONES",1136360000050,14758.80,19924.38,17710.56,un,un,1.0,100,General,Otros,,,,
"CADENA 3/8 1.3 ESP. 16""",1136360000055,15562.00,21008.70,18674.40,un,un,1.0,100,General,Otros,,,,
ROLLO CADENA. PICCO MICRO 3/8 1.3 MS 170 -MS 210,1136360001640,387042.00,522506.70,464450.40,Unidad,Unidad,1.0,100,General,Otros,,,,
"CADENA STIHL MICRO 3/8 1,6MM. 72 ESLABONES",1136520000072,25300.80,34156.08,30360.96,un,un,1.0,100,General,Otros,,,,
PINTURA MULTITECHO ROJO COLONIAL N (CERESITA),11370101,19201.50,25922.03,23041.80,galon,galon,1.0,100,Pinturas,Aplicacion,,,,
PINTURA MULTITECHO NEGRO (CERESITA),11370201,19201.50,25922.03,23041.80,galon,galon,1.0,100,Pinturas,Aplicacion,,,,
PINTURA MULTITECHO AZUL COLONIAL (CERESITA),11370301,19201.50,25922.03,23041.80,galon,galon,1.0,100,Pinturas,Aplicacion,,,,
PINTURA MULTITECHO VERDE (CERESITA),11370501,19201.50,25922.03,23041.80,galon,galon,1.0,100,Pinturas,Aplicacion,,,,
CERESTAIN NATURAL (CERESITA),11380001,22203.46,29974.67,26644.15,galon,galon,1.0,100,General,Otros,,,,
CERESTAIN NATURAL (CERESITA),11380004,6247.89,8434.65,7497.47,litro,litro,1.0,100,General,Otros,,,,
CERESTAIN ENCINA (CERESITA),11380101,19147.28,25848.83,22976.74,galon,galon,1.0,100,General,Otros,,,,
CERESTAIN ENCINA (CERESITA),11380104,6247.89,8434.65,7497.47,litro,litro,1.0,100,General,Otros,,,,
CERESTAIN ROBLE (CERESITA),11380201,22203.46,29974.67,26644.15,galon,galon,1.0,100,General,Otros,,,,
CERESTAIN ROBLE (CERESITA),11380204,6247.89,8434.65,7497.47,litro,litro,1.0,100,General,Otros,,,,
CERESTAIN PALO DE ROSA,11380301,19147.28,25848.83,22976.74,Galon,Galon,1.0,100,General,Otros,,,,
CERESTAIN PALO DE ROSA (CERESITA),11380304,4810.16,6493.72,5772.20,1/4 galon,1/4 galon,1.0,100,General,Otros,,,,
CERESTAIN ALERCE (CERESITA),11380401,22203.46,29974.67,26644.15,galon,galon,1.0,100,General,Otros,,,,
CERESTAIN ALERCE (CERESITA),11380404,6247.89,8434.65,7497.47,litro,litro,1.0,100,General,Otros,,,,
CERESTAIN CAOBA (CERESITA),11380501,22203.46,29974.67,26644.15,galon,galon,1.0,100,General,Otros,,,,
CERESTAIN CAOBA (CERESITA),11380504,6247.89,8434.65,7497.47,litro,litro,1.0,100,General,Otros,,,,
CERESTAIN VERDE (CERESITA),11380701,22203.46,29974.67,26644.15,galon,galon,1.0,100,General,Otros,,,,
CERESTAIN VERDE (CERESITA),11380704,6247.89,8434.65,7497.47,litro,litro,1.0,100,General,Otros,,,,
BARNIZ MARINO LADRILLO (CERESITA),11381701,15817.02,21352.97,18980.42,galon,galon,1.0,100,Construccion,Materiales,,,,
BARNIZ MARINO LADRILLO (CERESITA),11381704,4446.72,6003.07,5336.06,litro,litro,1.0,100,Construccion,Materiales,,,,
STIHL CABEZAL AUTOCUT(36-2) FS120/250,1140027102170,27650.16,37327.72,33180.19,unidad,unidad,1.0,100,General,Otros,,,,
CABEZAL TRIMCUT C 42-2 FS 160/300/350/450,1140037102122,26104.00,35240.40,31324.80,unidad,unidad,1.0,100,General,Otros,,,,
CABEZAL AUTOCUT FS 38 (C 6-2),1140067102126,28814.80,38899.98,34577.76,un,un,1.0,100,General,Otros,,,,
TUBERIA PP-RCT BETA 20MM 6MT PN16,11402,5181.64,6995.22,6217.97,unidad,unidad,1.0,100,General,Otros,,,,
TUBERIA PP-RCT BETA 25MM 6MT PN16,11403,8414.52,11359.61,10097.43,unidad,unidad,1.0,100,General,Otros,,,,
CUCHILLO 3 PUNTAS FS 120-250,1141127134100,25401.20,34291.62,30481.44,unidad,unidad,1.0,100,General,Otros,,,,
SIERRA CIRCULAR FS 85/120/250,1141127134203,23172.32,31282.63,27806.78,unidad,unidad,1.0,100,Herramientas,Discos y Corte,,,,
CUCHILLO 3 PUNTAS FS 300,1141197134100,30622.00,41339.70,36746.40,unidad,unidad,1.0,100,General,Otros,,,,
SIERRA CIRCULAR FS 300,1141197134200,25501.60,34427.16,30601.92,unidad,unidad,1.0,100,Herramientas,Discos y Corte,,,,
DESMALEZADORA FS 300 (INCORPORA CABEZAL DE NYLON Y CUCHILLA DE 3 PUNTAS),1141340112381,601396.00,811884.60,721675.20,unidad,unidad,1.0,100,General,Otros,,,,
DESMALEZADORA FS 120 C/CUCHILLA 3 PTAS + CAB. NYLON,1141342000234,363448.00,490654.80,436137.60,un,un,1.0,100,General,Otros,,,,
"ORILLADORA STIHL FS38, MOTOR 2T DE 30,2CC.",1141400112377,185740.00,250749.00,222888.00,un,un,1.0,100,General,Otros,,,,
BARNIZ VITRIFICANTE MADELUXE (CERESITA),11453201,21297.85,28752.10,25557.42,galon,galon,1.0,100,General,Otros,,,,
SOBRE AMERICANO BLANCO 10X23 80GR X 50 UN,11461,1878.48,2535.95,2254.18,pqt,pqt,1.0,100,General,Otros,,,,
CERESTAIN CASTAÑO (CERESITA),11462701,22203.46,29974.67,26644.15,galon,galon,1.0,100,General,Otros,,,,
CERESTAIN CASTAÑO (CERESITA),11462704,6247.89,8434.65,7497.47,litro,litro,1.0,100,General,Otros,,,,
"LIMA PARA MOTOSIERRA 4,8 3/16",1156057734806,1506.00,2033.10,1807.20,unidad,unidad,1.0,100,Herramientas,Discos y Corte,,,,
"LIMA PARA MOTOSIERRA 5,5 7/32 (CAJA)",1156057735506,1506.00,2033.10,1807.20,unidad,unidad,1.0,100,Herramientas,Discos y Corte,,,,
ASPERSOR PLASTICO VERDE 1/2' - EDR,116002,1526.08,2060.21,1831.30,unidad,unidad,1.0,100,General,Otros,,,,
ASPERSOR 1/2' PLASTICO CON ESTACA PLASTICA EDR,116006,2048.16,2765.02,2457.79,unidad,unidad,1.0,100,General,Otros,,,,
ASPERSOR 1/2' PLASTICO CON ESTACA METALICA EDR,116008,3072.24,4147.52,3686.69,unidad,unidad,1.0,100,General,Otros,,,,
ASPERSOR EDR 1/2' METALICO CON ESTACA DE ALUMINIO EDR,116024,7479.80,10097.73,8975.76,unidad,unidad,1.0,100,General,Otros,,,,
KIT PITON CON ADAPTADORES Y CONECTORES 4 PIEZAS - EDR,116053,2399.56,3239.41,2879.47,unidad,unidad,1.0,100,General,Otros,,,,
PISTOLA CHORRO REGULABLE - EDR,116062,2329.28,3144.53,2795.14,unidad,unidad,1.0,100,General,Otros,,,,
PISTOLA 5 POSICIONES CON ADAPTADOR - EDR,116064,1174.68,1585.82,1409.62,unidad,unidad,1.0,100,General,Otros,,,,
KIT PISTOLA ELITE CON ADAPTADORES - 4 PIEZAS - EDR,116067,3875.44,5231.84,4650.53,unidad,unidad,1.0,100,General,Otros,,,,
