nombre,codigo_chilemat,codigo_interno,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel
Corte MDF Natural 12 mm 30x30 cm,SOD-110313599,CHM-SOD-110313599,PEND-SOD-110313599,1990,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Cierre Perimetral Verde 8 mm 122x244 cm,SOD-143318535,CHM-SOD-143318535,PEND-SOD-143318535,12790,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Corte MDF Natural 5.5 mm 30x30 cm,SOD-110283964,CHM-SOD-110283964,PEND-SOD-110283964,1101,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Corte MDF Natural 9 mm 35x40 cm,SOD-110297021,CHM-SOD-110297021,PEND-SOD-110297021,1790,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Corte MDF Natural 3 mm 35x40 cm,SOD-110310827,CHM-SOD-110310827,PEND-SOD-110310827,1201,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Repisa Melamina 15 mm 20x80 cm,SOD-122782693,CHM-SOD-122782693,PEND-SOD-122782693,6990,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Corte MDF Natural 15 mm 30x30 cm,SOD-110329689,CHM-SOD-110329689,PEND-SOD-110329689,2990,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Melamina Acacia Arena 18 mm 183x250 cm,SOD-110285320,CHM-SOD-110285320,PEND-SOD-110285320,68590,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Placa 3 mm 25x25 cm,SOD-123053168,CHM-SOD-123053168,PEND-SOD-123053168,760,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
Corte MDF Natural 12 mm 35x40 cm,SOD-110307391,CHM-SOD-110307391,PEND-SOD-110307391,2690,,,unidad,unidad,1.0,0,Ferreteria,Sodimac,,,
