nombre,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel,unidad
"PERNO HEXAGONAL G2 UNC NG 1/4 X 1"" (100)",0010012C_016064,63.75,86.07,76.50,unidad,unidad,1.0,100,Ferreteria,Fijaciones,,,,
"PERNO HEXAGONAL G2 UNC NG 1/4 X 5""",0010012C_016319,285.14,384.93,342.16,unidad,unidad,1.0,100,Ferreteria,Fijaciones,,,,
"PERNO HEXAGONAL G2 UNC NG 5/16 X 1"" (100)",0010012C_020064,93.27,125.92,111.93,unidad,unidad,1.0,100,Ferreteria,Fijaciones,,,,
"PERNO HEXAGONAL G2 UNC NG 5/16 X 1.1/2""",0010012C_020096,153.51,207.24,184.21,unidad,unidad,1.0,100,Ferreteria,Fijaciones,,,,
"PERNO HEXAGONAL G2 UNC NG 5/16 X 6""",0010012C_020383,485.33,655.20,582.40,unidad,unidad,1.0,100,Ferreteria,Fijaciones,,,,
"PERNO HEXAGONAL G2 UNC NG 3/8 X 1""",0010012C_024064,159.64,215.51,191.56,unidad,unidad,1.0,100,Ferreteria,Fijaciones,,,,
"PERNO HEXAGONAL G2 UNC NG 3/8 X 1.1/2"" (100)",0010012C_024096,171.18,231.10,205.42,unidad,unidad,1.0,100,Ferreteria,Fijaciones,,,,
"PERNO HEXAGONAL G2 UNC NG 3/8 X 2.1/2""",0010012C_024160,264.45,357.01,317.34,unidad,unidad,1.0,100,Ferreteria,Fijaciones,,,,
"PERNO HEXAGONAL G2 UNC NG 3/8 X 3"" (100)",0010012C_024192,388.35,524.27,466.02,unidad,unidad,1.0,100,Ferreteria,Fijaciones,,,,
"PERNO HEXAGONAL G2 UNC NG 1/2 X 1""",0010012C_032063,242.37,327.19,290.84,unidad,unidad,1.0,100,Ferreteria,Fijaciones,,,,
"PERNO HEXAGONAL G2 UNC NG 1/2 X 1.1/2""",0010012C_032096,334.53,451.62,401.44,unidad,unidad,1.0,100,Ferreteria,Fijaciones,,,,
"PERNO HEXAGONAL G2 UNC NG 1/2 X 5"" (25)",0010012C_032320,906.31,1223.52,1087.57,unidad,unidad,1.0,100,Ferreteria,Fijaciones,,,,
"PERNO COCHE UNC NG PAVONADO 1/4 X 1.1/2""",001003_C_016096,78.71,106.26,94.46,unidad,unidad,1.0,100,Ferreteria,Fijaciones,,,,
"PERNO COCHE UNC NG PAVONADO 5/16 X 3""",001003_C_020192,154.72,208.87,185.66,unidad,unidad,1.0,100,Ferreteria,Fijaciones,,,,
"PERNO COCINA CAB REDONDA ZN 1/4 X 1""",001004_CZ016064,93.67,126.46,112.41,unidad,unidad,1.0,100,Ferreteria,Fijaciones,,,,
"PERNO COCINA CAB REDONDA ZN 1/4 X 1.1/2""",001004_CZ016096,100.50,135.68,120.60,unidad,unidad,1.0,100,Ferreteria,Fijaciones,,,,
