nombre,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel,unidad
"POLICARBONATO ONDULADO 0,5MM INTERPLAS 0,81X3M TRANSPARENTE",3012130008060,8790.02,11866.53,10548.02,unidad,unidad,1.0,100,General,Otros,,,,
ALERO LISTO DVP 1.00X1.2,3012150027060,26992.54,36439.93,32391.05,unidad,unidad,1.0,100,General,Otros,,,,
ALERO LISTO DVP 1.00X1.2,3012150028420,26992.54,36439.93,32391.05,unidad,unidad,1.0,100,General,Otros,,,,
BISAGRA STD RECTA 35MM (22),3013100000,421.68,569.27,506.02,un,un,1.0,100,Hogar,Banio y Decoracion,,,,
SIKADUR 31 HI-MOD GEL CAJA CON 6 JUEGOS X 1 KG (SANTIAGO),3017790,61952.82,83636.31,74343.39,caja,caja,1.0,100,General,Otros,,,,
"AMP H1 12V 55W P14,5S T2.5 CR STD CAJA",302397,2008.00,2710.80,2409.60,unidad,unidad,1.0,100,General,Otros,,,,
MOLDURA NOMASTYL F 230 ML,3027982,431.20,582.12,517.44,metro,metro,1.0,100,General,Otros,,,,
FILTRO EN Y KLN DE ANILLAS 1'' BSP,303975,11093.51,14976.23,13312.21,unidad,unidad,1.0,100,General,Otros,,,,
SIKADUR 32 GEL PACK 6 X 1 KG (SANTIAGO),3051790,76628.29,103448.19,91953.95,pack,pack,1.0,100,General,Otros,,,,
AGUARRAS MINERAL CJ 21 X 1 LT.,3054P29,33413.12,45107.71,40095.74,botella lt.,botella lt.,1.0,100,General,Otros,,,,
AGUARRAS MINERAL CAJA 6 BIDONES 5 LTS,3054P6B,44617.76,60233.98,53541.31,bidon,bidon,1.0,100,General,Otros,,,,
DILUYENTE ACRILICO DA302 CJ 21 X 1 LT,305503P29,33270.55,44915.25,39924.66,botella lt.,botella lt.,1.0,100,Pinturas,Aplicacion,,,,
DILUYENTE SINTETICO DS303 CJ 21 X 1 LT,305504P29,34125.96,46070.05,40951.15,botella lt.,botella lt.,1.0,100,Pinturas,Aplicacion,,,,
PROYECTOR LED 30W TELCO FLAT PRO 4500K,3060030,3604.36,4865.89,4325.23,unidad,unidad,1.0,100,General,Otros,,,,
PROYECTOR LED 50W TELCO FLAT PRO 6000K LUZ FRIA,3060050,5773.00,7793.55,6927.60,unidad,unidad,1.0,100,General,Otros,,,,
TUB. CONDUIT 16 CIV X 3 MT,306016-3,805.21,1087.03,966.25,tira,tira,1.0,100,General,Otros,,,,
TUB. CONDUIT 20 CIV X 3 MT,306026-3,1334.32,1801.33,1601.18,tira,tira,1.0,100,General,Otros,,,,
TUB. CONDUIT 25 CIII X 3 MT,306031-3,1839.33,2483.09,2207.19,tira,tira,1.0,100,General,Otros,,,,
INGLETE CON SERRUCHO 300MM,306112,9828.27,13268.16,11793.92,unidad,unidad,1.0,100,General,Otros,,,,
RODILLO ESPONJA POLIURETANO 7 CM,307,1621.79,2189.42,1946.15,unidad,unidad,1.0,100,Pinturas,Aplicacion,,,,
DESOXIDANTE INDUSTRIAL,3101001,2936.70,3964.55,3524.04,botella,botella,1.0,100,General,Otros,,,,
SERRUCHO CARPINTERO 450MM,310218,2690.72,3632.47,3228.86,UNIDAD,UNIDAD,1.0,100,General,Otros,,,,
CERRAD. DE SOBREPONER GRIS,3106020110,13955.60,18840.06,16746.72,unidad,unidad,1.0,100,General,Otros,,,,
CERR. SOBREP. SAFER 210 CIL/AJUST NEGRA BL,3106020111,14487.72,19558.42,17385.26,unidad,unidad,1.0,100,General,Otros,,,,
CERR. TUB. BS IBIZA ACCESO PREMIUM BL,3106042007,13162.44,17769.29,15794.93,unidad,unidad,1.0,100,General,Otros,,,,
CERR. TUB. BS IBIZA DORM/OFIC PREMIUM  BL,3106042008,13152.40,17755.74,15782.88,unidad,unidad,1.0,100,General,Otros,,,,
CERR. TUB POMO B. SATIN BASH 440 BAÑO/DORM BL,3106042009,12208.64,16481.66,14650.37,unidad,unidad,1.0,100,General,Otros,,,,
CERR. TUB. BS IBIZA LOGIA/PATIO PREMIUM BL,3106042010,14788.92,19965.04,17746.70,unidad,unidad,1.0,100,General,Otros,,,,
CERR. TUB. SS IBIZA DORM/OFIC PREMIUM  BL,3106042108,11696.60,15790.41,14035.92,unidad,unidad,1.0,100,General,Otros,,,,
CERR. TUB POMO INOX BASH 440 BAÑO/DORM BL,3106042109,11134.36,15031.39,13361.23,unidad,unidad,1.0,100,General,Otros,,,,
CERR. TUB. SS IBIZA LOGIA/PATIO PREMIUM BL,3106042110,14146.36,19097.59,16975.63,unidad,unidad,1.0,100,General,Otros,,,,
CHALECO BLACK BULL GEOLOGO CANVAS T/XL AZUL,311109094415,4947.71,6679.41,5937.25,unidad,unidad,1.0,100,General,Otros,,,,
"TIJERA CORTA PASTO MANGO TELESCOPICO 30""",311830,10430.68,14081.41,12516.81,unidad,unidad,1.0,100,General,Otros,,,,
"TIJERA CORTA PASTO 22""",311922,9597.74,12956.95,11517.29,unidad,unidad,1.0,100,General,Otros,,,,
