nombre,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel,unidad
BOTA GOMA CONCRETERA N° 41,807-6170-41,16003.76,21605.08,19204.51,par,par,1.0,100,General,Otros,,,,
"SET 50 BARRA TOMA TIERRA 1/2"", 1MTS.",8100335,140861.20,190162.62,169033.44,Unidad,Unidad,1.0,100,Electricidad,Cables y Accesorios,,,,
SET 12 REFLECTORES LED 20W VKB,8107060,51228.10,69157.93,61473.72,unidad,unidad,1.0,100,General,Otros,,,,
"SET 40 REFLECTOR LED IP65, 20W, 6.500K, NEGRO",8107430,163772.48,221092.85,196526.98,Unidad,Unidad,1.0,100,General,Otros,,,,
"SET 18 REFLECTOR LED IP65, 50W, 6.500K, NEGRO",8107450,136841.18,184735.60,164209.42,Unidad,Unidad,1.0,100,General,Otros,,,,
"SET 12 REFLECTOR LED IP65, 10W, 6.500K, NEGRO",8108490,31975.39,43166.78,38370.47,unidad,unidad,1.0,100,General,Otros,,,,
"SET 30 REFLECTOR LED IP65, 30W, 6.500K, NEGRO",8108502,178732.08,241288.31,214478.50,set,set,1.0,100,General,Otros,,,,
"SET 20 REFLECTOR LED IP65 CON SENSOR 30W, 6.500K, NEGRO",8108531,188631.52,254652.55,226357.82,Unidad,Unidad,1.0,100,General,Otros,,,,
CODO SANITARIO GRIS 50MMX 45°,819947,349.89,472.36,419.87,unidad,unidad,1.0,100,Gasfiteria,Tuberias y Conexiones,,,,
CODO SANITARIO GRIS 75MMX 45°,819950,629.81,850.24,755.77,unidad,unidad,1.0,100,Gasfiteria,Tuberias y Conexiones,,,,
CODO SANITARIO GRIS 110MMX 45°,819953,1399.58,1889.43,1679.49,unidad,unidad,1.0,100,Gasfiteria,Tuberias y Conexiones,,,,
CODO SANITARIO GRIS 40MMX87.5°,819956,279.92,377.89,335.90,unidad,unidad,1.0,100,Gasfiteria,Tuberias y Conexiones,,,,
CODO SANITARIO GRIS 50MMX87.5°,819959,419.67,566.56,503.61,unidad,unidad,1.0,100,Gasfiteria,Tuberias y Conexiones,,,,
CODO SANITARIO GRIS 110MMX87.5°,819965,1819.45,2456.26,2183.34,unidad,unidad,1.0,100,Gasfiteria,Tuberias y Conexiones,,,,
REDUCCION SANIT.GRIS 110MMX75MM,819977,979.70,1322.60,1175.64,unidad,unidad,1.0,100,General,Otros,,,,
TEE SANITARIO GRIS 110MMX110MM,819983,2449.26,3306.50,2939.11,unidad,unidad,1.0,100,Gasfiteria,Tuberias y Conexiones,,,,
COPLA SANITARIO GRIS 110MM,819995,1260.02,1701.03,1512.02,unidad,unidad,1.0,100,General,Otros,,,,
VEE SANITARIO GRIS 75MMX 40MM,820017,909.72,1228.13,1091.67,unidad,unidad,1.0,100,General,Otros,,,,
VEE SANITARIO GRIS 75MMX 50MM,820018,979.70,1322.60,1175.64,unidad,unidad,1.0,100,General,Otros,,,,
VEE SANITARIO GRIS 110MMX110MM,820020,3079.07,4156.74,3694.88,unidad,unidad,1.0,100,General,Otros,,,,
VEE SANITARIO GRIS 110MMX 75MM,820021,2239.32,3023.08,2687.19,unidad,unidad,1.0,100,General,Otros,,,,
VEE SANITARIO GRIS 110MMX 40MM,820023,1609.51,2172.84,1931.41,unidad,unidad,1.0,100,General,Otros,,,,
TEE REGISTRO SANIT GRIS 110MM,820034,3149.05,4251.21,3778.86,unidad,unidad,1.0,100,Gasfiteria,Tuberias y Conexiones,,,,
CODO REGIS SANIT.GRIS 110MM,820035,2659.19,3589.91,3191.03,unidad,unidad,1.0,100,Gasfiteria,Tuberias y Conexiones,,,,
PILETA UNIV. SANIT. GRIS,820048,4618.60,6235.11,5542.32,unidad,unidad,1.0,100,General,Otros,,,,
TAPA SANITARIA GRIS 110MM,820067,419.87,566.83,503.85,unidad,unidad,1.0,100,General,Otros,,,,
ESCOBILLON MUNICIPAL CON MANGO (L-285),8201020,2669.64,3604.01,3203.56,un,un,1.0,100,General,Otros,,,,
MOLDURA NOMASTYL D 40 X 50 MM,820806,825.29,1114.14,990.35,metro,metro,1.0,100,General,Otros,,,,
MOLDURA NOMASTYL H 50 X 40 MM,821117,840.35,1134.47,1008.42,Metro,Metro,1.0,100,General,Otros,,,,
MOLDURA NOMASTYL J 50 X 45 MM,821216,840.35,1134.47,1008.42,Metro,Metro,1.0,100,General,Otros,,,,
REMOVEDOR DE PINTURA TARRO 1/2 L,82303,3483.88,4703.24,4180.66,tarro,tarro,1.0,100,Pinturas,Aplicacion,,,,
REMOVEDOR DE PINTURA TARRO 1 L,82305,5040.08,6804.11,6048.10,tarro,tarro,1.0,100,Pinturas,Aplicacion,,,,
"CADENA R1520E 4.5 15-20 8.0X4.2 NR (9,17KG)",829152080420450,13810.02,18643.53,16572.02,unidad,unidad,1.0,100,General,Otros,,,,
"CHUZO 1"" (OCHHE100) - PLASMET",8301030,11932.54,16108.93,14319.05,un,un,1.0,100,General,Otros,,,,
"CHUZO 1.1/4"" (OCHHE114) - PLASMET",8301040,17659.36,23840.13,21191.23,un,un,1.0,100,General,Otros,,,,
CERR. TUBULAR 8000 AB-8303 OFICINA/DORMITORIO INOX BT,830301,28332.88,38249.39,33999.46,unidad,unidad,1.0,100,General,Otros,,,,
PAÑO AMARILLO X 1 UN 30 X 40 CORRIENTE,83972,397.43,536.54,476.92,und,und,1.0,100,General,Otros,,,,
KIT ACCESORIO 5 PIEZAS ABS BASE,840-90,8108.30,10946.21,9729.96,unidad,unidad,1.0,100,General,Otros,,,,
"CINTA REFLECTANTE PET ROLLO X 45,7M ASIMETRICA (280-180MM) ROJA/BLANCA",843453,53991.10,72887.99,64789.32,unidad,unidad,1.0,100,General,Otros,,,,
CAL VIVA BOLSA 1 KG,84411,475.90,642.46,571.08,bolsa,bolsa,1.0,100,Construccion,Materiales,,,,
CAL VIVA SACO 25 KG,84435,6726.80,9081.18,8072.16,saco,saco,1.0,100,Construccion,Materiales,,,,
CEMENTO BLANCO BOLSA 1 KG,84644,903.60,1219.86,1084.32,unidad,unidad,1.0,100,Construccion,Materiales,,,,
WC ONE PIECE LUND,850-10,127974.86,172766.06,153569.83,unidad,unidad,1.0,100,General,Otros,,,,
PUERTA EXTERIOR OREGON AURORA 85X200,850AO,61725.92,83329.99,74071.10,unidad,unidad,1.0,100,General,Otros,,,,
PUERTA EXTERIOR OREGON VICTORIA/TRANCURA 85X200,850VO,64918.64,87640.16,77902.37,UNIDAD,UNIDAD,1.0,100,General,Otros,,,,
OLLA C/ARO 18 CM ENLOZADO,8530218,5825.21,7864.03,6990.25,UNIDAD,UNIDAD,1.0,100,General,Otros,,,,
OLLA C/ARO 20 CM ENLOZADO,8530220,6533.03,8819.59,7839.63,UNIDAD,UNIDAD,1.0,100,General,Otros,,,,
OLLA C/ARO 22 CM ENLOZADO,8530222,7471.77,10086.89,8966.12,UNIDAD,UNIDAD,1.0,100,General,Otros,,,,
OLLA C/ARO 24 CM ENLOZADO,8530224,9518.92,12850.55,11422.71,UNIDAD,UNIDAD,1.0,100,General,Otros,,,,
PLATO BOWL 18 CM ENLOZADO RUSTIK,8570739,3654.56,4933.66,4385.47,unidad,unidad,1.0,100,General,Otros,,,,
PARTIDOR LEÑA DURALINE  25 HP,858-025,2127415.76,2872011.28,2552898.91,unidad,unidad,1.0,100,General,Otros,,,,
YESO BOLSA 1 KG,85844,542.16,731.92,650.59,unidad,unidad,1.0,100,Construccion,Materiales,,,,
TRABA PERNOS TEKBOND 115AZUL 10GR BLISTER,861022,6225.80,8404.84,7470.96,unidad,unidad,1.0,100,Ferreteria,Fijaciones,,,,
NEGRO MATE USO GRAL. 350ML.,861081,2718.83,3670.42,3262.60,unidad,unidad,1.0,100,General,Otros,,,,
NEGRO BRILLANTE USO GRAL. 350ML.,861082,2718.83,3670.42,3262.60,unidad,unidad,1.0,100,General,Otros,,,,
BLANCO BRILLANTE USO GRAL. 350ML.,861083,2718.83,3670.42,3262.60,unidad,unidad,1.0,100,General,Otros,,,,
BLANCO MATE USO GRAL. 350ML.,861090,2718.83,3670.42,3262.60,unidad,unidad,1.0,100,General,Otros,,,,
JARRO 10 CM COLORES ENLOZADO,8621510,2811.20,3795.12,3373.44,unidad,unidad,1.0,100,General,Otros,,,,
ENCHUFE HEMBRA 10A 2P+T BLANCO,8630164,983.92,1328.29,1180.70,unidad,unidad,1.0,100,Electricidad,Cables y Accesorios,,,,
