nombre,codigo_chilemat,codigo_interno,codigo_barra,precio_compra,precio_venta,precio_mayoreo,unidad_compra,unidad_venta,factor_conversion,stock,categoria,subcategoria,ubicacion_pasillo,ubicacion_estante,ubicacion_nivel
FIELTRO ASFALTICO 15/40,7000002,CHM-7000002,PEND-7000002,23061.88,,,rollo,rollo,1.0,0,General,Otros,,,
"SUPER FIELTRO VOLCAN 37,5 M2",7000090,CHM-7000090,PEND-7000090,15616.216,,,ROLLO,ROLLO,1.0,0,General,Otros,,,
GABINETE ZG CALEFONT DE 5 A 8 LITROS.,7000218,CHM-7000218,PEND-7000218,24994.58,,,un,un,1.0,0,Construccion,Materiales,,,
"5V ZA 0,30X895X3500 AZ150 (U:819 MM)",700039,CHM-700039,PEND-700039,8749.86,,,pl,pl,1.0,0,General,Otros,,,
"5V ZA 0,35X895X2000 AZ80 ECONÓMICA (U:819 MM)",700072,CHM-700072,PEND-700072,5627.6208,,,PL,PL,1.0,0,General,Otros,,,
"5V ZA 0,35X895X2500 AZ80 ECONÓMICA (U:819 MM)",700073,CHM-700073,PEND-700073,6867.36,,,pl,pl,1.0,0,General,Otros,,,
"5V ZA 0,35X895X3500 AZ80 ECONÓMICA (U:819 MM)",700075,CHM-700075,PEND-700075,9613.3,,,pl,pl,1.0,0,General,Otros,,,
"5V ZA 0,30X895X2000 AZ80 ECONOMICA (U:819 MM)",700076,CHM-700076,PEND-700076,5597.3,,,pl,pl,1.0,0,General,Otros,,,
"5V ZA 0,30X895X2500 AZ80 ECONOMICA (U:819 MM)",700077,CHM-700077,PEND-700077,6259.94,,,pl,pl,1.0,0,General,Otros,,,
"5V ZA 0,30X895X3000 AZ80 ECONOMICA (U:819 MM)",700078,CHM-700078,PEND-700078,8283.0,,,pl,pl,1.0,0,General,Otros,,,
PUERTA EXTERIOR OREGON AURORA,700AO,CHM-700AO,PEND-700AO,56424.8,,,unidad,unidad,1.0,0,General,Otros,,,
PUERTA EXTERIOR OREGON VICTORIA/TRANCURA 70X200,700VO,CHM-700VO,PEND-700VO,59597.44,,,UNIDAD,UNIDAD,1.0,0,General,Otros,,,
PUERTA EXTERIOR RADIATA VICTORIA/BIO BIO 70X200,700VR,CHM-700VR,PEND-700VR,49320.496,,,UNIDAD,UNIDAD,1.0,0,General,Otros,,,
"OSB 2440X1220X9,5 MM ( 84PZ)",708971-STGO,CHM-708971-STGO,PEND-708971-STGO,10017.912,,,UNIDAD,UNIDAD,1.0,0,General,Otros,,,
ESCOBILLA PARA ZAPATO 14 CMS,70958,CHM-70958,PEND-70958,532.371,,,und,und,1.0,0,General,Otros,,,
BELLA 8MM AKASYA,7120028458,CHM-7120028458,PEND-7120028458,16381.264,,,m2,m2,1.0,0,General,Otros,,,
BELLA 8MM DAPHNE,7120032211,CHM-7120032211,PEND-7120032211,16381.264,,,m2,m2,1.0,0,General,Otros,,,
"PUERTA PLACA TERCIADO 45 X 0,800 X 2,000 ( 25 X PQTE )",71574508002000,CHM-71574508002000,PEND-71574508002000,15247.748,,,unidad,unidad,1.0,0,General,Otros,,,
GANCHO CANAL HOJALATERIA COLOR METAL,7200005,CHM-7200005,PEND-7200005,281.12,,,unidad,unidad,1.0,0,General,Otros,,,
"TUBO GALVANIZADO 4,0"" (E=0,35 M.M.)",7200124,CHM-7200124,PEND-7200124,2424.66,,,un,un,1.0,0,Gasfiteria,Tuberias y Conexiones,,,
"TUBO GALVANIZADO 4,5"" (E=0,35 M.M.)",7200125,CHM-7200125,PEND-7200125,2675.66,,,un,un,1.0,0,Gasfiteria,Tuberias y Conexiones,,,
"TUBO GALVANIZADO 5,0"" (E=0,35 M.M.)",7200126,CHM-7200126,PEND-7200126,3087.3,,,unidad,unidad,1.0,0,Gasfiteria,Tuberias y Conexiones,,,
"GORRO GALVANIZADO 4,0"" (E=0,35 M.M.)",7200136,CHM-7200136,PEND-7200136,2248.96,,,unidad,unidad,1.0,0,General,Otros,,,
"GORRO GALVANIZADO 4,5"" (E=0,35 M.M.)",7200137,CHM-7200137,PEND-7200137,2424.66,,,unidad,unidad,1.0,0,General,Otros,,,
"GORRO GALVANIZADO 5,0"" (E=0,35 M.M.)",7200138,CHM-7200138,PEND-7200138,2374.46,,,un,un,1.0,0,General,Otros,,,
"ANILLO GALVANIZADO 4,0"" (E=0,35 M.M.)",7200143,CHM-7200143,PEND-7200143,793.16,,,unidad,unidad,1.0,0,General,Otros,,,
"ANILLO GALVANIZADO 4,5"" (E=0,35 M.M.)",7200144,CHM-7200144,PEND-7200144,793.16,,,unidad,unidad,1.0,0,General,Otros,,,
"ANILLO GALVANIZADO 5,0"" (E=0,35 M.M.)",7200145,CHM-7200145,PEND-7200145,793.16,,,unidad,unidad,1.0,0,General,Otros,,,
GABINETE ZG CALEFONT DE 10 A 12 LITROS.,7200167,CHM-7200167,PEND-7200167,35225.34,,,unidad,unidad,1.0,0,Construccion,Materiales,,,
TOSTADOR ESTAÑADO CLASICO VIRUTEX-ILKO,72069,CHM-72069,PEND-72069,2714.565,,,und,und,1.0,0,General,Otros,,,
AMPOLLETA H4 P43T 12V 60/55W,7207101,CHM-7207101,PEND-7207101,2158.6,,,unidad,unidad,1.0,0,General,Otros,,,
AMPOLLETA H4 P43T 24V 75/70W,7207102,CHM-7207102,PEND-7207102,2153.58,,,unidad,unidad,1.0,0,General,Otros,,,
AMPOLLETA H3 12V 55W,7207121,CHM-7207121,PEND-7207121,928.7,,,unidad,unidad,1.0,0,General,Otros,,,
AMPOLLETA H7 12V 55W,7207141,CHM-7207141,PEND-7207141,2158.6,,,unidad,unidad,1.0,0,General,Otros,,,
AMPOLLETA H7 24V 70W,7207142,CHM-7207142,PEND-7207142,1997.96,,,unidad,unidad,1.0,0,General,Otros,,,
AMPOLLETA 93 12V 21W 1CONT.NORMAL,7207321,CHM-7207321,PEND-7207321,291.16,,,unidad,unidad,1.0,0,General,Otros,,,
AMPOLLETA 1034 12V 21/5W 2CONT,7207341,CHM-7207341,PEND-7207341,326.3,,,unidad,unidad,1.0,0,General,Otros,,,
AMPOLLETA 67 12V 5W 1CONT,7207401,CHM-7207401,PEND-7207401,251.0,,,unidad,unidad,1.0,0,General,Otros,,,
AMPOLLETA PIOJITO 12V 1.2W TABLERO,7207601,CHM-7207601,PEND-7207601,155.62,,,unidad,unidad,1.0,0,General,Otros,,,
AMPOLLETA C/PESCADO 12V 5W TABLERO,7207621,CHM-7207621,PEND-7207621,150.6,,,unidad,unidad,1.0,0,General,Otros,,,
AMPOLLETA C/PESCADO 24V 5W TABLERO,7207622,CHM-7207622,PEND-7207622,195.78,,,unidad,unidad,1.0,0,General,Otros,,,
LIQUIDO DE FRENOS DOT3 1000ML,722796,CHM-722796,PEND-722796,4829.24,,,unidad,unidad,1.0,0,General,Otros,,,
FUSIBLE ATO 15A 100 UNIDADES,724295,CHM-724295,PEND-724295,51.204,,,unidad,unidad,1.0,0,General,Otros,,,
FUSIBLE MINI 20A 200 UNIDADES,724516,CHM-724516,PEND-724516,46.184,,,unidad,unidad,1.0,0,General,Otros,,,
FUSIBLE MINI 10A 200 UNIDADES,724554,CHM-724554,PEND-724554,46.184,,,unidad,unidad,1.0,0,General,Otros,,,
"FUSIBLE MINI 7,5A 200 UNIDADES",724578,CHM-724578,PEND-724578,46.184,,,unidad,unidad,1.0,0,General,Otros,,,
BAOFENG INTERCOM. PANTALLA LCD DIGITAL136-174/400-520MHZ ALCANCE APROX 3 KM 1 UNIDAD,7247,CHM-7247,PEND-7247,26316.60704,,,UNIDAD,UNIDAD,1.0,0,General,Otros,,,
POWERLAB LAMPARA DE EMERGENCIA 30 LED,7258,CHM-7258,PEND-7258,5055.8528400000005,,,unidad,unidad,1.0,0,General,Otros,,,
POWERLAB LAMPARA DE EMERGENCIA 90 LED,7259,CHM-7259,PEND-7259,10750.81192,,,unidad,unidad,1.0,0,General,Otros,,,
BOQUILLA BAJADA ZG,7300024,CHM-7300024,PEND-7300024,456.82,,,un,un,1.0,0,General,Otros,,,
TRAPERO 50 X 40 C/OJAL CONVENIENTE ALGODON,73027,CHM-73027,PEND-73027,1148.0238,,,und,und,1.0,0,General,Otros,,,
GATA CAIMÁN 2 TONELADAS,736502,CHM-736502,PEND-736502,56096.50204,,,unidad,unidad,1.0,0,General,Otros,,,
ESCOBILLA ANATOMICA,737-6,CHM-737-6,PEND-737-6,297.184,,,1,1,1.0,0,General,Otros,,,
CHURRASQUERA FUND. (26X26X4),74201,CHM-74201,PEND-74201,9857.69368,,,UNIDAD,UNIDAD,1.0,0,General,Otros,,,
DISCO 45 CM C/PATAS,74301,CHM-74301,PEND-74301,18004.55128,,,UNIDAD,UNIDAD,1.0,0,Herramientas,Discos y Corte,,,
